"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10750","Should load and go to login","firefox","Sun Jul 27 15:20:25 BST 2025","passed","Sun Jul 27 15:20:35 BST 2025","","home.spec.ts","",""
"","7198","User should be able to login @regression @login","Mobile Safari","Sun Jul 27 15:20:39 BST 2025","passed","Sun Jul 27 15:20:46 BST 2025","User Signup and Login","signup.spec.ts","",""
"","9418","User should be able to login @regression @login","chromium","Sun Jul 27 15:20:25 BST 2025","passed","Sun Jul 27 15:20:34 BST 2025","User Signup and Login","signup.spec.ts","",""
"","9304","Should load and go to login","Mobile Chrome","Sun Jul 27 15:20:25 BST 2025","passed","Sun Jul 27 15:20:34 BST 2025","","home.spec.ts","",""
"","12746","Should load and go to login","webkit","Sun Jul 27 15:20:25 BST 2025","passed","Sun Jul 27 15:20:37 BST 2025","","home.spec.ts","",""
"","9343","Should load and go to login","chromium","Sun Jul 27 15:20:25 BST 2025","passed","Sun Jul 27 15:20:34 BST 2025","","home.spec.ts","",""
"","14960","User should be able to login @regression @login","webkit","Sun Jul 27 15:20:25 BST 2025","passed","Sun Jul 27 15:20:40 BST 2025","User Signup and Login","signup.spec.ts","",""
"","13106","User should be able to login @regression @login","firefox","Sun Jul 27 15:20:25 BST 2025","passed","Sun Jul 27 15:20:38 BST 2025","User Signup and Login","signup.spec.ts","",""
"","9299","User should be able to login @regression @login","Mobile Chrome","Sun Jul 27 15:20:25 BST 2025","passed","Sun Jul 27 15:20:34 BST 2025","User Signup and Login","signup.spec.ts","",""
"","7074","Should load and go to login","Mobile Safari","Sun Jul 27 15:20:39 BST 2025","passed","Sun Jul 27 15:20:46 BST 2025","","home.spec.ts","",""
