"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Home visual snapshot","Mobile Chrome","Thu Jul 31 02:19:52 UTC 2025","skipped","Thu Jul 31 02:19:52 UTC 2025","","visual/home.spec.ts","",""
"","0","Home page should have no accessibility violations","webkit","Thu Jul 31 02:19:34 UTC 2025","skipped","Thu Jul 31 02:19:34 UTC 2025","Accessibility Test","Acessibility/acessibility.spec.ts","",""
"","1","Home page should have no accessibility violations","firefox","Thu Jul 31 02:19:26 UTC 2025","skipped","Thu Jul 31 02:19:26 UTC 2025","Accessibility Test","Acessibility/acessibility.spec.ts","",""
"","3595","Should load and go to login","Mobile Chrome","Thu Jul 31 02:19:45 UTC 2025","passed","Thu Jul 31 02:19:48 UTC 2025","","home.spec.ts","",""
"","3102","User should be able to login @regression @login","webkit","Thu Jul 31 02:19:41 UTC 2025","passed","Thu Jul 31 02:19:44 UTC 2025","User Signup and Login","signup.spec.ts","",""
"","0","Home visual snapshot","firefox","Thu Jul 31 02:19:34 UTC 2025","skipped","Thu Jul 31 02:19:34 UTC 2025","","visual/home.spec.ts","",""
"","0","Home page should have no accessibility violations","Mobile Chrome","Thu Jul 31 02:19:44 UTC 2025","skipped","Thu Jul 31 02:19:44 UTC 2025","Accessibility Test","Acessibility/acessibility.spec.ts","",""
"","4368","Should load and go to login","webkit","Thu Jul 31 02:19:35 UTC 2025","passed","Thu Jul 31 02:19:40 UTC 2025","","home.spec.ts","",""
"","4009","User should be able to login @regression @login","Mobile Safari","Thu Jul 31 02:19:56 UTC 2025","passed","Thu Jul 31 02:20:00 UTC 2025","User Signup and Login","signup.spec.ts","",""
"","1","Home page should have no accessibility violations","Mobile Safari","Thu Jul 31 02:19:52 UTC 2025","skipped","Thu Jul 31 02:19:52 UTC 2025","Accessibility Test","Acessibility/acessibility.spec.ts","",""
"","3158","User should be able to login @regression @login","firefox","Thu Jul 31 02:19:31 UTC 2025","passed","Thu Jul 31 02:19:34 UTC 2025","User Signup and Login","signup.spec.ts","",""
"","2902","Should load and go to login","Mobile Safari","Thu Jul 31 02:19:53 UTC 2025","passed","Thu Jul 31 02:19:56 UTC 2025","","home.spec.ts","",""
"","2672","Should load and go to login","chromium","Thu Jul 31 02:19:17 UTC 2025","passed","Thu Jul 31 02:19:20 UTC 2025","","home.spec.ts","",""
"","1","Home visual snapshot","Mobile Safari","Thu Jul 31 02:20:00 UTC 2025","skipped","Thu Jul 31 02:20:00 UTC 2025","","visual/home.spec.ts","",""
"","1","Home visual snapshot","chromium","Thu Jul 31 02:19:26 UTC 2025","skipped","Thu Jul 31 02:19:26 UTC 2025","","visual/home.spec.ts","",""
"","3179","User should be able to login @regression @login","Mobile Chrome","Thu Jul 31 02:19:49 UTC 2025","passed","Thu Jul 31 02:19:52 UTC 2025","User Signup and Login","signup.spec.ts","",""
"","1","Home visual snapshot","webkit","Thu Jul 31 02:19:44 UTC 2025","skipped","Thu Jul 31 02:19:44 UTC 2025","","visual/home.spec.ts","",""
"","2","Home page should have no accessibility violations","chromium","Thu Jul 31 02:19:17 UTC 2025","skipped","Thu Jul 31 02:19:17 UTC 2025","Accessibility Test","Acessibility/acessibility.spec.ts","",""
"","2652","User should be able to login @regression @login","chromium","Thu Jul 31 02:19:23 UTC 2025","passed","Thu Jul 31 02:19:25 UTC 2025","User Signup and Login","signup.spec.ts","",""
"","3746","Should load and go to login","firefox","Thu Jul 31 02:19:26 UTC 2025","passed","Thu Jul 31 02:19:30 UTC 2025","","home.spec.ts","",""
